beer_name,abv,isorganic,isretired,status,brewery,category_name,style_name,ibumin,ibumax,abvmin,abvmax,srmmin,srmmax,original_gravity,fgmin,fgmax,ibu
Natural Light,4.2,N,N,verified,Anheuser-Busch InBev,North American Lager,Lager,5,10,3.5,4.4,2,4,1.024,1.002,1.008,7
Select 55,4,N,N,verified,Anheuser-Busch InBev,North American Lager,Lager,5,10,3.5,4.4,2,4,1.024,1.002,1.008,9
Two Hats Lime,4.2,N,N,verified,Miller Brewing Company,North American Lager,Lager,5,10,3.5,4.4,2,4,1.024,1.002,1.008,7
Two Hats Pineapple,4.2,N,N,verified,Miller Brewing Company,North American Lager,Lager,5,10,3.5,4.4,2,4,1.024,1.002,1.008,8
Hatchery Series 2 Mexican Style Lager,4.8,N,N,verified,SweetWater Brewing Company,Hybrid/mixed Beer,Lager,5,10,3.5,4.4,2,4,1.024,1.002,1.008,10
Bud Light Lime Mang-O-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,11,13,4,6,2,4,1.04,1.006,1.01,5
Bud Light Straw-Ber-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,8,13,3.8,6,2,4,1.04,1.006,1.01,5
Cran-Ber-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,9,11,4,6,2,4,1.04,1.006,1.01,5
GRAPE-A-RITA,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,10,12,4,6,2,4,1.04,1.006,1.01,5
Lime-a-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,11,13,4,6,2,4,1.04,1.006,1.01,5
Mixxtail Firewalker,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,8,13,5,6,2,4,1.04,1.006,1.01,5
Mixxtail Long Island Iced Tea,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,9,14,4,6,2,4,1.04,1.006,1.01,5
Peach-a-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,11,13,4.2,5.7,2,4,1.04,1.006,1.01,5
Pine-Apple-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,8,13,4,6,2,4,1.04,1.006,1.01,5
Raz-Ber-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,9,13,3,6,2,4,1.04,1.006,1.01,5
Water-melon-Rita,8,N,N,verified,Anheuser-Busch InBev,Malternative Beverages,Lager,10,13,4,6,2,4,1.04,1.006,1.01,5
Centennial Hop Mountain Marzen (Batch No. 80524),5.9,N,N,verified,Anheuser-Busch InBev,North American Lager,Lager,20,30,5.3,5.9,4,15,1.05,1.012,1.02,28
Festival Bier,6,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,20,30,5.3,5.9,4,15,1.05,1.012,1.02,28
Oktoberfest (2015),6,N,Y,verified,Sierra Nevada Brewing Company,North American Lager,Lager,20,30,5.3,5.9,4,15,1.05,1.012,1.02,30
Oktoberfest (2018),6,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,20,30,5.3,5.9,4,15,1.056,1.012,1.02,20
Oktoberfest,5.3,N,N,verified,New Holland Brewing Company,North American Lager,Lager,20,30,5.3,5.9,4,15,1.05,1.012,1.02,26
Oktoberfest (2014),6.2,N,Y,verified,Sierra Nevada Brewing Company,North American Lager,Lager,20,30,5.3,5.9,4,15,1.05,1.012,1.02,30
Oktoberfest Marzen Lager,5.4,N,N,verified,Zero Gravity Craft Brewery,North American Lager,Lager,20,30,5.3,5.9,4,15,1.059,1.012,1.02,26
TuberFest,7.5,N,N,verified,Lagunitas Brewing Company,North American Lager,Lager,20,30,5.3,5.9,4,15,1.075,1.012,1.02,45
'Murican Pilsner,5.5,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,36
471 Pilsner,5,N,N,verified,Breckenridge Brewery,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,39
7 Birds,5,Y,N,verified,Jackalope Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,13
7 Cities Pilsner,5,Y,N,verified,Jackalope Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,32
Audition - Imperial Pilsner,8,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,37
Audition - Pilsner,5.2,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,39
Barrel Aged Mama's Mama's Little Yella Pils (Tequila),5.3,N,N,verified,Oskar Blues Brewery,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,35
Dry Hopped Coastal Pilsner (Batch No. 23185),6,N,N,verified,Anheuser-Busch InBev,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,30
EXPERIMENTAL HOP PILSNER,5.5,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,46
Foam Pilsner,5.6,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,34
Green State Lager,4.9,N,N,verified,Zero Gravity Craft Brewery,North American Lager,Lager,25,40,5,6,3,6,1.049,1.012,1.018,25
Imperial Pils,8.6,N,N,verified,Lagunitas Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.074,1.012,1.018,57
Imperial Pilsner - Beer Camp #43,5.6,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,29
Nooner Pilsner,5.2,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,38
Premium 219 Pilsner,4.7,N,N,verified,Laughing Dog Brewing,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,38
Regal Pilsner,7,N,N,verified,Breckenridge Brewery,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,45
Scare City 1,7.5,N,N,verified,Lagunitas Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,60
Summer Pils,5,N,N,verified,Breckenridge Brewery,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,39
SweetWater Road Trip,5.2,N,N,verified,SweetWater Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,36
Torpedo Pilsner - Beer Camp Across America (2014),5.2,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,25,40,5,6,3,6,1.048,1.012,1.018,45
Tropical Mama's,5.3,N,N,verified,Oskar Blues Brewery,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,40
Two-One Niner,4.8,N,N,verified,Laughing Dog Brewing,North American Lager,Lager,25,40,5,6,3,6,1.045,1.012,1.018,9.4
Bud Ice,5.5,N,N,verified,Anheuser-Busch InBev,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,11
Bud Ice Light,4.1,N,N,verified,Anheuser-Busch InBev,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,8
Dark Wheat,5.6,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,12
Electric Ray - Beer Camp Across America (2014),8.5,N,N,verified,Sierra Nevada Brewing Company,North American Lager,Lager,6,15,4.3,5,2,6,1.074,1.01,1.014,70
Green Valley Wild Hop Lager,5,Y,N,verified,Anheuser-Busch InBev,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,8
Harp Lager,5,N,N,verified,Guinness,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,11
Harp Premium Imported Lager,4.5,N,N,verified,Guinness,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,14
Hop House Lager,5,N,N,verified,Guinness,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,6
Liger Lager,6.9,N,N,verified,Portsmouth Brewery,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,13
Miller Fortune,6.9,N,N,verified,Miller Brewing Company,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,13
Mountain Wheat,5.4,N,N,verified,Breckenridge Brewery,North American Lager,Lager,6,15,4.3,5,2,6,1.044,1.01,1.014,12
Sweet Sunny South,4.9,N,N,verified,Sierra Nevada Brewing Company,Belgian And French Origin Ales,Lager,5,15,0.5,3.5,5,50,1.045,1.004,1.034,23
Blizzicane Bock,7.7,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,20,30,6.3,7.5,20,30,1.066,1.018,1.024,29
Chewbocka,6.2,N,N,verified,Zero Gravity Craft Brewery,European-germanic Lager,Lager,20,30,6.3,7.5,20,30,1.071,1.018,1.024,20
Old CHico Pale Bock,6.8,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,20,30,6.3,7.5,20,30,1.066,1.018,1.024,40
Pandora's Bock,7.5,N,Y,verified,Breckenridge Brewery,European-germanic Lager,Lager,20,30,6.3,7.5,20,30,1.066,1.018,1.024,16
Charkoota Rye (2012),9.35,N,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.101,1.014,1.02,27
Charkoota Rye (2011),8.4,N,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.079,1.014,1.02,21
Doppelbock,9.5,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.074,1.014,1.02,21
Double DeBOCKel,9.4,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.074,1.014,1.02,19
Obliterator,10.5,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.074,1.014,1.02,20
The Mutilator,7,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.074,1.014,1.02,21
Blue Goat,7.5,N,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,17,27,6.5,8,12,30,1.074,1.014,1.02,21
Barrel Aged Nuovo Record,13.5,N,N,verified,New Holland Brewing Company,German Origin Ales,Lager,15,35,6.9,9.3,5,30,1.066,1.016,1.028,15
Bavarian-Styled Doppel Weizen,9,N,N,verified,Lagunitas Brewing Company,German Origin Ales,Lager,15,35,6.9,9.3,5,30,1.066,1.016,1.028,22
Black Mamba,6,N,N,verified,Oskar Blues Brewery,German Origin Ales,Lager,15,35,6.9,9.3,5,30,1.066,1.016,1.028,34
Dunkelweizen Bock,7.2,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,15,35,6.9,9.3,5,30,1.066,1.016,1.028,30
Weizenbock - Beer Camp #37,6.8,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,15,35,6.9,9.3,5,30,1.066,1.016,1.028,26
Banana Stand,5.6,Y,N,verified,Jackalope Brewing Company,German Origin Ales,Lager,10,15,4.8,5.4,10,19,1.048,1.008,1.016,11
Beer Camp: Dunkle Weisse (2017),5.7,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,10,15,4.8,5.4,10,19,1.058,1.008,1.016,10
Dunkelweizen,5.5,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,10,15,4.8,5.4,10,19,1.048,1.008,1.016,11
Trip In the Woods: Rye Dunkelweizen,9.6,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,10,15,4.8,5.4,10,19,1.048,1.008,1.016,28
Tmavac,5.4,N,N,verified,Zero Gravity Craft Brewery,European-germanic Lager,Lager,16,25,4.5,5,15,20,1.048,1.014,1.018,23
Dank Tank Magnum IP,9,N,Y,verified,SweetWater Brewing Company,European-germanic Lager,Lager,30,45,4.1,5.1,3,7,1.044,1.014,1.02,100
Bohemian Dock Street Pilsner,5,N,N,verified,Dock Street Brewery,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,34
Mama's Little Yella Pils,5.3,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,35
Pils,6.2,N,N,verified,Lagunitas Brewing Company,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,35
Southern Gothic Session Pils,5.6,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,40
Take Two Pils,5.5,N,N,verified,SweetWater Brewing Company,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,35
Keller,4.9,N,N,verified,Zero Gravity Craft Brewery,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,25
Mandarina Bavaria,4.9,N,N,verified,Zero Gravity Craft Brewery,European-germanic Lager,Lager,25,40,4,5,3,4,1.044,1.006,1.012,35
Autumn Ale,6,N,N,verified,Breckenridge Brewery,European-germanic Lager,Lager,18,25,5.3,5.9,4,15,1.05,1.012,1.02,21
Martzen,5.3,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,18,25,5.3,5.9,4,15,1.05,1.012,1.02,21
Octoberfest,5.2,N,N,verified,Wachusett Brewing Company,European-germanic Lager,Lager,18,25,5.3,5.9,4,15,1.05,1.012,1.02,21
Noble Helles (Batch No. 32218),5,N,N,verified,Anheuser-Busch InBev,European-germanic Lager,Lager,18,25,4.5,5.5,4,6,1.044,1.008,1.012,25
Bamberg Helles,5.2,N,N,verified,Zero Gravity Craft Brewery,European-germanic Lager,Lager,18,25,4.5,5.5,4,6,1.05,1.008,1.012,30
Braupakt,6,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.059,1.008,1.016,21
Doppel Weizen,8.5,N,N,verified,Lagunitas Brewing Company,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,12
Hefe Proper Ale,4,N,Y,verified,Breckenridge Brewery,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,9
Hefeweizen,4.2,Y,N,verified,Jackalope Brewing Company,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,12
Hefeweizen,4,Y,N,verified,Portsmouth Brewery,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,28
Kellerweis,4.8,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,15
Lovebird Wheat,4.4,N,N,verified,Jackalope Brewing Company,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,10
Station 3,5.7,N,N,verified,Oskar Blues Brewery,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,10
Waterkeeper,6,N,N,verified,SweetWater Brewing Company,German Origin Ales,Lager,10,15,4.9,5.5,3,9,1.047,1.008,1.016,10
American Summer Hoppy Wit,6,N,N,verified,Oskar Blues Brewery,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,55
Bob White,5,N,N,verified,Zero Gravity Craft Brewery,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,18
Collabinator Wit,5,Y,N,verified,Blackstone Brewing Company,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,25
Ovila Abbey White,5.3,N,N,verified,Sierra Nevada Brewing Company,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,22
Priscilla,5.2,N,N,verified,Oskar Blues Brewery,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,20
Spring Heat Spiced Wheat,5.2,N,Y,verified,Anheuser-Busch InBev,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,14
Stoopid Wit,6,N,N,verified,Lagunitas Brewing Company,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,15
Vanilla Wheat,5.9,Y,N,verified,Blue Moon Brewing Company,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,12
White Ale,4.8,N,N,verified,Breckenridge Brewery,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.044,1.006,1.01,15
Witness,6,N,N,verified,Zero Gravity Craft Brewery,Belgian And French Origin Ales,Lager,10,17,4.8,5.2,2,4,1.061,1.006,1.01,20
Bella Czech Pils,5.3,N,N,verified,Wachusett Brewing Company,International Styles,Lager,17,30,4.5,5.3,3,4,1.044,1.008,1.01,35
Stephan Urquell,4,Y,N,verified,Portsmouth Brewery,International Styles,Lager,17,30,4.5,5.3,3,4,1.044,1.008,1.01,40
Twisted Fish,5.3,N,N,verified,SweetWater Brewing Company,International Styles,Lager,17,30,4.5,5.3,3,4,1.044,1.008,1.01,30
Harbin Lager,5.5,N,N,verified,Anheuser-Busch InBev,International Styles,Lager,17,30,4.5,5.3,3,4,1.044,1.008,1.01,35
Cranberry Kolsch,5,N,N,verified,Dock Street Brewery,German Origin Ales,Lager,18,25,4.8,5.3,4,6,1.042,1.006,1.01,23
Full Circle,4.9,N,N,verified,New Holland Brewing Company,German Origin Ales,Lager,18,25,4.8,5.3,4,6,1.046,1.006,1.01,26
Kolsch,5,N,N,verified,Sierra Nevada Brewing Company,German Origin Ales,Lager,18,25,4.8,5.3,4,6,1.048,1.006,1.01,34
Kolsch Style Ale - Mountain Series,4.5,N,N,verified,Breckenridge Brewery,German Origin Ales,Lager,18,25,4.8,5.3,4,6,1.042,1.006,1.01,18
McKercher's Keller Kolsch,5.2,N,N,verified,Oskar Blues Brewery,German Origin Ales,Lager,18,25,4.8,5.3,4,6,1.042,1.006,1.01,21
"30th Anniversary - Charlie, Fred & Ken's Bock",8.3,N,Y,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,20,38,6,8,4,10,1.066,1.012,1.02,36
Barrel Aged BOTL Cap,8.9,N,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,20,38,6,8,4,10,1.066,1.012,1.02,38
Beer Like A Billy Goat,6.5,N,N,verified,Zero Gravity Craft Brewery,European-germanic Lager,Lager,20,38,6,8,4,10,1.07,1.012,1.02,25
Dogs of Helles,4,N,N,verified,Laughing Dog Brewing,European-germanic Lager,Lager,20,38,6,8,4,10,1.066,1.012,1.02,9
Glissade Golden Bock,6.4,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,20,38,6,8,4,10,1.066,1.012,1.02,42
Gravitation Collaboration,7.8,Y,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,20,38,6,8,4,10,1.066,1.012,1.02,22
Mai-nd-Bockling,6,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,20,38,6,8,4,10,1.066,1.012,1.02,30
Yonder Bock - Beer Camp Across America (2014),7.7,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,20,38,6,8,4,10,1.078,1.012,1.02,45
Oktoberfest (2016),6,N,Y,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,23,29,5,6,3,5,1.048,1.01,1.014,30
Oktoberfest (2017),6.1,N,Y,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,23,29,5,6,3,5,1.048,1.01,1.014,30
Oktoberfest,6,N,N,verified,Breckenridge Brewery,European-germanic Lager,Lager,23,29,5,6,3,5,1.048,1.01,1.014,30
Osktoberfest,6,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,23,29,5,6,3,5,1.048,1.01,1.014,30
Tequiza,4.5,N,Y,verified,Anheuser-Busch InBev,Other Lager,Lager,9,18,3.8,5,2,5,1.038,1.006,1.01,11
Beerito,4,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,22,28,4.8,5.4,12,16,1.046,1.012,1.018,21
Extra Time,5.8,N,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,22,28,4.8,5.4,12,16,1.046,1.012,1.018,28
Fohn,4.7,N,N,verified,New Holland Brewing Company,European-germanic Lager,Lager,22,28,4.8,5.4,12,16,1.046,1.012,1.018,28
Vienna,5.3,N,N,verified,Sierra Nevada Brewing Company,European-germanic Lager,Lager,22,28,4.8,5.4,12,16,1.046,1.012,1.018,28
Vienna Lager,5.7,N,N,verified,Oskar Blues Brewery,European-germanic Lager,Lager,22,28,4.8,5.4,12,16,1.046,1.012,1.018,23
Vienna Lager,4.7,N,N,verified,Portsmouth Brewery,European-germanic Lager,Lager,22,28,4.8,5.4,12,16,1.046,1.012,1.018,20
25th Anniversary,9.8,N,N,verified,Breckenridge Brewery,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.1,1.02,1.03,44
Barrel Aged Twenty Five,9.8,N,N,verified,Breckenridge Brewery,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.08,1.02,1.03,45
Broken Vow,9.8,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.08,1.02,1.03,35
Corsair Buckwheat Porter,8.2,Y,N,verified,Jackalope Brewing Company,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.1,1.02,1.03,48
Death By Coconut (Rum Barrel Aged),11.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.09,1.02,1.03,45
Imperial Pecan Porter,9,N,N,verified,Laughing Dog Brewing,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.08,1.02,1.03,49
London Calling English Porter Cask,5.3,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.1,1.02,1.03,43
Rye Cocoa Porter - ScareCity #2,10.2,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Stout,35,50,5.5,9.5,40,40,1.07,1.02,1.03,46
30th Anniversary - Fritz and Ken's Ale,9.2,N,Y,verified,Sierra Nevada Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,76
Barrel Aged Imperial Cherry Stout,9.5,N,N,verified,Breckenridge Brewery,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,77
Barrel Aged Narwhal,12.9,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,54
Barrel-Aged Ten Fidy,12.9,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,65
Bourbon Barrel Aged Imperial Stout,11.2,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,70
Bourbon Barrel Aged Imperial Stout With Coffee,11.2,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,40
Brandy Barrel-Aged Ten Fidy,10.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,65
Chocolate Chili Stout - High Altitude Series,8.8,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,60
Dank Tank Old Man Johnson's Farm,9.6,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,60
Dragon's Milk,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.096,1.02,1.03,31
Dragon's Milk Reserve Coconut Rum,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.096,1.02,1.03,30
Dragon's Milk Reserve Mexican Spice Cake,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,62
Dragon's Milk Reserve Triple-Mashed,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,69
Dragon's Milk Reserve Vanilla Chai,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,30
Dragon's Milk Reserve with Coffee And Chocolate,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,71
Dragon's Milk Reserve with S'mores,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,31
Dragon's Milk Reserve with Toasted Chilies,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,50
Dragon's Milk Reserve with Vanilla Chai,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,50
Dragon's Milk Reserve: Brewer's Select,12,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,62
Dragon's Milk Reserve: Cherry Chocolate,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,31
Dragon's Milk Reserve: Mexican Spice Cake,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,70
Dragon's Milk Reserve: Salted Caramel,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,60
Dragon's Milk Reserve: Banana Coconut,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,31
Dragon's Milk Reserve: Mocha Mint,11,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,60
Filthy Pumpkin,7.75,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,73
Happy Ending (2014),9,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,57
Happy Ending,9,N,N,verified,SweetWater Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,54
High West-ified Imperial Coffee Stout,12.2,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,56
Imperial Stout (Fudge And Sickle),9.9,N,N,verified,Lagunitas Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,15
Javanilla Ten FIDY,10.5,N,N,verified,Oskar Blues Brewery,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,74
Kate The Great Russian Imperial Stout,9.5,N,N,verified,Portsmouth Brewery,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,78
Narwhal,10.2,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.101,1.02,1.03,60
Narwhal Tawny Port Barrel Aged,11.4,N,N,verified,Sierra Nevada Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,56
Night Tripper,10.8,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.115,1.02,1.03,56
Night Tripper (2011),10.8,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,52
Night Tripper Barrel Aged,10.8,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,56
Night Wish,10.5,N,N,verified,New Holland Brewing Company,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,67
Prince Myshkin,9,N,N,verified,Dock Street Brewery,North American Origin Ales,Stout,50,80,7,12,40,40,1.08,1.02,1.03,59
